chain,generation,subjID,seqid,seqIN,seqOUT
1,0,1.0,1,412123243134,412123243134
1,0,1.0,2,114323344122,114323344122
1,0,1.0,3,411433422213,411433422213
1,0,1.0,4,224431432113,224431432113
1,0,1.0,5,141342123432,141342123432
1,0,1.0,6,341322141423,341322141423
1,0,1.0,7,144133222413,144133222413
1,0,1.0,8,234214313421,234214313421
1,0,1.0,9,211423233144,211423233144
1,0,1.0,10,432334124112,432334124112
1,0,1.0,11,421234411233,421234411233
1,0,1.0,12,142214133243,142214133243
1,0,1.0,13,112314432234,112314432234
1,0,1.0,14,313224441132,313224441132
1,0,1.0,15,143423412321,143423412321
1,0,1.0,16,431142242331,431142242331
1,0,1.0,17,233211443412,233211443412
1,0,1.0,18,323242314411,323242314411
1,0,1.0,19,432432341211,432432341211
1,0,1.0,20,224231434113,224231434113
1,0,1.0,21,432241313241,432241313241
1,0,1.0,22,231124324134,231124324134
1,0,1.0,23,121313224434,121313224434
1,0,1.0,24,421314234132,421314234132
1,0,1.0,25,233442421131,233442421131
1,0,1.0,26,121243341243,121243341243
1,0,1.0,27,343112243412,343112243412
1,0,1.0,28,341432321214,341432321214
1,0,1.0,29,224143433121,224143433121
1,0,1.0,30,144133224123,144133224123
1,10,1.10,1,24241224,32424124
1,10,1.10,2,1241241243,1241241243
1,10,1.10,3,12431243124,12431243124
1,10,1.10,4,1241241243,1241241243
1,10,1.10,5,23231223123,24232313223
1,10,1.10,6,33133421,331331443
1,10,1.10,7,42421342,4242142
1,10,1.10,8,3434314,323434123
1,10,1.10,9,232312231223,23231231223
1,10,1.10,10,1423142143,1431421423
1,10,1.10,11,24243124243,324241243
1,10,1.10,12,12412412323,124124123123
1,10,1.10,13,1443143143143,1431431443143
1,10,1.10,14,1441441434,144144143
1,10,1.10,15,12412413124243,12412413123
1,10,1.10,16,12412434,12412412434
1,10,1.10,17,13241324,12313241324
1,10,1.10,18,12412412343,1341241241234
1,10,1.10,19,13241324132323,1324132412423
1,10,1.10,20,1342134213243,12413412341234
1,10,1.10,21,24224224134,2424224134
1,10,1.10,22,1241241224124,1241241224124
1,10,1.10,23,132413241324,132413241324
1,10,1.10,24,134213421342,134213421342
1,10,1.10,25,132413241324,132413241324
1,10,1.10,26,1241241243,1241241243
1,10,1.10,27,11131123,11131123
1,10,1.10,28,1241241243,1241241243
1,10,1.10,29,124312431243,124312431243
1,10,1.10,30,1431431423,1431431243
1,1,1.1,1,421234411233,4213442134212431
1,1,1.1,2,144133222413,1241311314224131331
1,1,1.1,3,432432341211,432334214224311
1,1,1.1,4,341432321214,13313334241342431134224131
1,1,1.1,5,323242314411,3341241314241331124213314
1,1,1.1,6,233211443412,1342213124242413124211
1,1,1.1,7,432241313241,43132432131421432
1,1,1.1,8,224431432113,22413132421132242
1,1,1.1,9,411433422213,244213142421331
1,1,1.1,10,142214133243,1442134224211342441
1,1,1.1,11,144133224123,14314324421431
1,1,1.1,12,224231434113,4224313421423134211342
1,1,1.1,13,121243341243,124213144242131424213242
1,1,1.1,14,313224441132,1311331242222241312
1,1,1.1,15,234214313421,1342421324212
1,1,1.1,16,431142242331,134222421324231
1,1,1.1,17,143423412321,1431324131423132
1,1,1.1,18,114323344122,11342133142421342124
1,1,1.1,19,211423233144,214431242132421132
1,1,1.1,20,233442421131,2243221342123412
1,1,1.1,21,112314432234,113123424132424
1,1,1.1,22,141342123432,13241234213422424
1,1,1.1,23,432334124112,43122143214331324
1,1,1.1,24,341322141423,12423142431242123142331
1,1,1.1,25,412123243134,134212432142331423241
1,1,1.1,26,121313224434,132423313242
1,1,1.1,27,421314234132,2421342131342124
1,1,1.1,28,343112243412,3431342132421132324
1,1,1.1,29,224143433121,22414213132314244
1,1,1.1,30,231124324134,2313422413124231424131242
1,2,1.2,1,124213144242131424213242,124124343124
1,2,1.2,2,1342421324212,13241324134242423
1,2,1.2,3,2313422413124231424131242,14231243124342
1,2,1.2,4,2421342131342124,1241241241243
1,2,1.2,5,113123424132424,13242413241132424
1,2,1.2,6,432334214224311,4323124311
1,2,1.2,7,134222421324231,134222241432
1,2,1.2,8,43132432131421432,4314314324
1,2,1.2,9,13241234213422424,13241324
1,2,1.2,10,4213442134212431,1244124414214221
1,2,1.2,11,1241311314224131331,13241132413131
1,2,1.2,12,244213142421331,24241324
1,2,1.2,13,43122143214331324,431431243
1,2,1.2,14,12423142431242123142331,12431242414242
1,2,1.2,15,132423313242,13241343124
1,2,1.2,16,134212432142331423241,124312431243
1,2,1.2,17,1342213124242413124211,12413242132424213241311
1,2,1.2,18,3431342132421132324,4312431342134211241
1,2,1.2,19,22413132421132242,24241324113242224
1,2,1.2,20,2243221342123412,2243243124311324
1,2,1.2,21,214431242132421132,13241124312243131
1,2,1.2,22,11342133142421342124,132411243224
1,2,1.2,23,3341241314241331124213314,3341314134143
1,2,1.2,24,1311331242222241312,1312412222413
1,2,1.2,25,1442134224211342441,14411432431432
1,2,1.2,26,13313334241342431134224131,1333133244243131332442
1,2,1.2,27,14314324421431,1431434214331431
1,2,1.2,28,4224313421423134211342,424213424211342
1,2,1.2,29,1431324131423132,14312431243
1,2,1.2,30,22414213132314244,2413231244
1,3,1.3,1,13241324134242423,13241324132424112431
1,3,1.3,2,134222241432,1344222241
1,3,1.3,3,124124343124,124124343214234
1,3,1.3,4,431431243,4314314232
1,3,1.3,5,4312431342134211241,43124312434324314213
1,3,1.3,6,24241324,24241324
1,3,1.3,7,13241132413131,1324132411132414
1,3,1.3,8,14231243124342,142312432432314432
1,3,1.3,9,2413231244,231421431423
1,3,1.3,10,24241324113242224,2432413241314131313
1,3,1.3,11,124312431243,124312431243
1,3,1.3,12,13241324,132413241324
1,3,1.3,13,2243243124311324,22432243124213
1,3,1.3,14,14411432431432,143124324423
1,3,1.3,15,132411243224,1124122413324
1,3,1.3,16,12431242414242,124124241242424
1,3,1.3,17,4323124311,43231244
1,3,1.3,18,13241124312243131,14414412421312242
1,3,1.3,19,1431434214331431,143142413241
1,3,1.3,20,12413242132424213241311,12412413121431432
1,3,1.3,21,3341314134143,33413341232321
1,3,1.3,22,14312431243,14314312432213
1,3,1.3,23,424213424211342,4242131342421333
1,3,1.3,24,13241343124,1324134324
1,3,1.3,25,1333133244243131332442,133122133441324
1,3,1.3,26,1244124414214221,124124412442141
1,3,1.3,27,1241241241243,1241241241243
1,3,1.3,28,13242413241132424,1324132424132424
1,3,1.3,29,1312412222413,13241342222214
1,3,1.3,30,4314314324,43143143142
1,4,1.4,1,4314314232,431243124231
1,4,1.4,2,43231244,4241432421
1,4,1.4,3,4242131342421333,42421313423124
1,4,1.4,4,142312432432314432,143214231324222
1,4,1.4,5,43143143142,1213142314233214
1,4,1.4,6,143124324423,14312432341
1,4,1.4,7,24241324,242413134321
1,4,1.4,8,133122133441324,1331221331221243
1,4,1.4,9,22432243124213,2243122431234
1,4,1.4,10,13241324132424112431,124312431243343223
1,4,1.4,11,124124241242424,1241241243343
1,4,1.4,12,12412413121431432,12412414321324
1,4,1.4,13,1324132424132424,132413241324332123
1,4,1.4,14,43124312434324314213,4334143231324
1,4,1.4,15,124312431243,124312431243
1,4,1.4,16,33413341232321,334133412431
1,4,1.4,17,14414412421312242,1441441244324
1,4,1.4,18,231421431423,142314321324243
1,4,1.4,19,143142413241,13412413243124
1,4,1.4,20,1324132411132414,13241324132413222224
1,4,1.4,21,1324134324,132414322341324
1,4,1.4,22,13241342222214,1324134213241342
1,4,1.4,23,14314312432213,143143142341
1,4,1.4,24,124124343214234,12412413243243
1,4,1.4,25,1344222241,13221322143432
1,4,1.4,26,2432413241314131313,2324321312121212
1,4,1.4,27,124124412442141,1241241224122412121224
1,4,1.4,28,1124122413324,1112441224112443
1,4,1.4,29,132413241324,132413241324
1,4,1.4,31,1241241241243,1241241241243
1,5,1.5,1,13221322143432,13241324123432112
1,5,1.5,2,4241432421,24243243124
1,5,1.5,3,242413134321,2424131314232214
1,5,1.5,4,1241241224122412121224,1241241224122412121224
1,5,1.5,5,2243122431234,224224322412342
1,5,1.5,6,12412413243243,12412413212341324
1,5,1.5,7,142314321324243,142314321424324
1,5,1.5,8,1241241241243,1241241243
1,5,1.5,9,4334143231324,434342123413324
1,5,1.5,10,1213142314233214,12131423132
1,5,1.5,11,1112441224112443,1112131241243
1,5,1.5,12,124312431243343223,12431243124323324233
1,5,1.5,13,143214231324222,14212412322243
1,5,1.5,14,1331221331221243,133122133122423
1,5,1.5,15,132413241324332123,1324132413243323134213
1,5,1.5,16,12412414321324,12412412341324
1,5,1.5,17,334133412431,3343341243324
1,5,1.5,18,431243124231,4242123423134
1,5,1.5,19,13412413243124,1241341342331234
1,5,1.5,20,143143142341,1431434231432
1,5,1.5,21,13241324132413222224,132413241324222234
1,5,1.5,22,1324134213241342,1324134213241342
1,5,1.5,23,132413241324,132413241324
1,5,1.5,24,1441441244324,14414414344234
1,5,1.5,25,2324321312121212,2323243131212121342
1,5,1.5,26,132414322341324,12424122231324
1,5,1.5,27,1241241243343,12412412433324124
1,5,1.5,28,124312431243,124312431243
1,5,1.5,29,42421313423124,424213423123423
1,5,1.5,30,14312432341,14121323231234
1,6,1.6,1,1324132413243323134213,132413241324134213
1,6,1.6,3,424213423123423,42421342
1,6,1.6,4,2424131314232214,24241324
1,6,1.6,5,12412412341324,1241241234
1,6,1.6,6,2323243131212121342,23232431342
1,6,1.6,7,1324134213241342,1342132413421324
1,6,1.6,8,132413241324,132413241324
1,6,1.6,9,12431243124323324233,124312431243
1,6,1.6,10,12412412433324124,12412412433
1,6,1.6,11,13241324123432112,13241324
1,6,1.6,12,224224322412342,22422431243
1,6,1.6,13,1431434231432,1431431423
1,6,1.6,14,1241341342331234,1241341234
1,6,1.6,15,142314321424324,142314321424
1,6,1.6,16,12131423132,1423142
1,6,1.6,17,1241241243,1241241243
1,6,1.6,18,12424122231324,1241223
1,6,1.6,19,24243243124,2424234123
1,6,1.6,20,434342123413324,4343421
1,6,1.6,22,124312431243,124312431243
1,6,1.6,23,12412413212341324,12412412341
1,6,1.6,24,4242123423134,424214321423
1,6,1.6,25,3343341243324,33433414
1,6,1.6,26,14414414344234,1441441434
1,6,1.6,28,1241241224122412121224,1241241224122411212
1,6,1.6,29,14212412322243,1241421243
1,6,1.6,30,132413241324222234,132413241324
1,6,1.6,31,1112131241243,11121243
1,6,1.6,33,14121323231234,13241324132323
1,6,1.6,34,133122133122423,13312213312
1,7,1.7,1,1241241243,1241241243
1,7,1.7,2,124312431243,1243124321243
1,7,1.7,3,1241341234,1241324143
1,7,1.7,4,142314321424,142314324321
1,7,1.7,5,1241241224122411212,1241224124123411
1,7,1.7,6,4343421,43434241
1,7,1.7,7,2424234123,24243421
1,7,1.7,8,1241223,1241223
1,7,1.7,9,1241421243,1241421243
1,7,1.7,10,1423142,1423142
1,7,1.7,11,132413241324134213,132413213243
1,7,1.7,12,132413241324,132413241324
1,7,1.7,13,42421342,42421342
1,7,1.7,14,124312431243,124312431243
1,7,1.7,15,1241241234,1241241243
1,7,1.7,16,24241324,24241324
1,7,1.7,17,22422431243,224224132413
1,7,1.7,18,33433414,33433414
1,7,1.7,19,1441441434,1441441434
1,7,1.7,20,1431431423,1431431423
1,7,1.7,21,11121243,11121243
1,7,1.7,22,13312213312,13312213121
1,7,1.7,23,13241324,13241324
1,7,1.7,24,23232431342,2323134223231
1,7,1.7,25,424214321423,424214231423
1,7,1.7,26,1342132413421324,1342134213241342
1,7,1.7,27,12412412341,12412412341
1,7,1.7,28,12412412433,12412412433
1,7,1.7,29,132413241324,132413241324
1,7,1.7,30,13241324132323,13241324132323
1,8,1.8,1,1241241243,1241241243
1,8,1.8,2,13312213121,1241241243
1,8,1.8,3,1431431423,1431431423
1,8,1.8,4,24243421,242431243
1,8,1.8,5,33433414,3343124
1,8,1.8,6,1441441434,1441441434
1,8,1.8,7,132413213243,132413241343
1,8,1.8,8,43434241,3434314
1,8,1.8,9,1241421243,1241241243
1,8,1.8,10,12412412341,12412412343
1,8,1.8,11,1342134213241342,1342134213241342
1,8,1.8,12,1241223,1241223
1,8,1.8,13,1241324143,1241324143
1,8,1.8,14,124312431243,124312431243
1,8,1.8,15,13241324,13241324
1,8,1.8,16,2323134223231,2323122323
1,8,1.8,17,132413241324,132413241324
1,8,1.8,18,24241324,24241324
1,8,1.8,19,13241324132323,13241324132323
1,8,1.8,20,142314324321,12431241223
1,8,1.8,21,224224132413,22422413241
1,8,1.8,22,12412412433,1241241223
1,8,1.8,23,424214231423,232312231223
1,8,1.8,24,1241241243,1241241243
1,8,1.8,25,11121243,11121243
1,8,1.8,26,42421342,42421342
1,8,1.8,27,132413241324,132413241324
1,8,1.8,28,1241224124123411,1241241324114
1,8,1.8,29,1243124321243,1243124312
1,8,1.8,30,1423142,142314231
1,9,1.9,1,24241324,24241224
1,9,1.9,2,1241241243,1241241243
1,9,1.9,3,12412412343,12412412343
1,9,1.9,4,1241223,12412434
1,9,1.9,5,3343124,33133421
1,9,1.9,6,1342134213241342,134213421342
1,9,1.9,7,132413241324,132413241324
1,9,1.9,8,1241324143,1443143143143
1,9,1.9,9,1441441434,1441441434
1,9,1.9,10,1241241243,1241241243
1,9,1.9,11,13241324132323,13241324132323
1,9,1.9,12,1431431423,1431431423
1,9,1.9,13,1241241223,12412412323
1,9,1.9,14,1241241243,1241241243
1,9,1.9,15,1241241243,1241241243
1,9,1.9,16,142314231,1423142143
1,9,1.9,18,232312231223,23231223123
1,9,1.9,19,2323122323,232312231223
1,9,1.9,20,1241241324114,1241241224124
1,9,1.9,21,132413241343,1342134213243
1,9,1.9,22,11121243,11131123
1,9,1.9,23,242431243,24243124243
1,9,1.9,24,132413241324,132413241324
1,9,1.9,25,1243124312,12431243124
1,9,1.9,26,42421342,42421342
1,9,1.9,27,124312431243,124312431243
1,9,1.9,28,22422413241,24224224134
1,9,1.9,29,13241324,13241324
1,9,1.9,30,3434314,3434314
1,9,1.9,31,12431241223,12412413124243
